feature,importance
sensor_11_rolling_mean,0.16346992260671858
sensor_4_rolling_mean,0.13029045768643946
sensor_2_rolling_mean,0.10446556284389788
sensor_7_rolling_mean,0.09855937018340014
sensor_9,0.06892344890801198
sensor_11,0.0629061186489847
sensor_4,0.06020125267203538
sensor_14,0.05443272781076462
sensor_7,0.05274408106372775
sensor_12,0.046186693625789435
sensor_20,0.026793171233525117
sensor_15,0.025205037908936367
sensor_21,0.02341998281402589
sensor_2,0.01645352138053285
sensor_3,0.014302959403763355
sensor_17,0.011714672481800852
sensor_13,0.011022974137590449
op_setting_1,0.01092359899857192
sensor_8,0.010794236677882665
op_setting_2,0.007190208913600499
op_setting_3,0.0
